Summlerin Academy,derek.keating@polk-fl.net,,"Lacrosse",2016-02-22
Summlerin Academy,steven.beck@polk-fl.net,,"Lacrosse",2016-02-22
Summlerin Academy,laura.webster@polk-fl.net,,"Lacrosse",2016-02-22
Summlerin Academy,steven.beck@polk-fl.net,,"Lacrosse",2016-02-22
Summlerin Academy,laura.webster@polk-fl.net,,"Lacrosse",2016-02-22
Summlerin Academy,steven.beck@polk-fl.net,,"Lacrosse",2016-02-22
Summlerin Academy,laura.webster@polk-fl.net,,"Lacrosse",2016-02-22
Summlerin Academy,steven.beck@polk-fl.net,,"Lacrosse",2016-02-22
Ocala,yvonneroach@hotmail.com,,"Lacrosse",2016-02-22
Ocala,CoachKyle@wildcatlacrosseclub.org,,"Lacrosse",2016-02-22
Pasco Warriors,toddkinney89@yahoo.com,,"Lacrosse",2016-02-22
Pasco Warriors,toddkinney89@yahoo.com,Todd Kinney,"Lacrosse",2016-02-22
Pasco Warriors,Naomi@wcaasports.org,Naomi Friedrich,"Lacrosse",2016-02-22
Pasco Warriors,naomi@wcaasports.org,Naomi Friedrich,"Lacrosse",2016-02-22
Pasco Warriors,joe@wcaasports.org,,"Lacrosse",2016-02-22
Pasco Warriors,renee@wcaasports.org,Renee Diaz,"Lacrosse",2016-02-22
Pasco Warriors,Naomi@wcaasports.org,Naomi Friedrich,"Lacrosse",2016-02-22
Pasco Warriors,Naomi@wcaasports.org,Naomi Friedrich,"Lacrosse",2016-02-22
Pasco Warriors,toddkinney89@yahoo.com,Todd Kinney,"Lacrosse",2016-02-22
Pasco Warriors,ameliaciccone@gmail.com,Amelia Ciccone,"Lacrosse",2016-02-22
Pasco Warriors,tom@wcaasports.org,Tom FitzSimons,"Lacrosse",2016-02-22
Pasco Warriors,sef694@gmail.com,Scott Farquhar,"Lacrosse",2016-02-22
Pasco Warriors,thesaunders6@gmail.com,Bailey Saunders,"Lacrosse",2016-02-22
Pasco Warriors,Naomi@wcaasports.org,Naomi Friedrich ,"Lacrosse",2016-02-22
Pasco Warriors,lacrossecoacheric@gmail.com,Eric Rosario,"Lacrosse",2016-02-22
Pasco Warriors,dawnkhalil@mac.com,Peggy D&#39;Alessandro,"Lacrosse",2016-02-22
Pasco Warriors,peter@wcaasports.org,,"Lacrosse",2016-02-22
Pasco Warriors,wcaaflagfootball2015@gmail.com,,"Lacrosse",2016-02-22
Pasco Warriors,wcaaflagfootball2015@gmail.com,,"Lacrosse",2016-02-22
Pasco Warriors,wcaaflagfootball2015@gmail.com,,"Lacrosse",2016-02-22
Pasco Warriors,wcaaflagfootball2015@gmail.com,,"Lacrosse",2016-02-22
Pasco Warriors,wcaaflagfootball2015@gmail.com,,"Lacrosse",2016-02-22
Pasco Warriors,wcaaflagfootball2015@gmail.com,,"Lacrosse",2016-02-22
Pasco Warriors,wcaa.cheerdirector@gmail.com,,"Lacrosse",2016-02-22
Pasco Warriors,wcaa.cheerassistantdirector@gmail.com,,"Lacrosse",2016-02-22
Pasco Warriors,wcaa.cheertreasure@gmail.com,,"Lacrosse",2016-02-22
Pasco Warriors,administrator@wcaasports.org,,"Lacrosse",2016-02-22
Pasco Warriors,baseball@wcaasports.org,,"Lacrosse",2016-02-22
